,Hybrid,Hybrid_Parent1,Hybrid_Parent2,hybrid_occurrences,p1_children,p2_children
0,2369/DK3IIH6,2369,DK3IIH6,116,4,153
1,2369/LH123HT,2369,LH123HT,753,4,11
2,2369/PHN82,2369,PHN82,62,4,14
3,2369/PHZ51,2369,PHZ51,108,4,670
4,2FACC/DK3IIH6,2FACC,DK3IIH6,70,1,153
5,4N506/DK3IIH6,4N506,DK3IIH6,70,1,153
6,6F629/DK3IIH6,6F629,DK3IIH6,66,1,153
7,740/PB80,740,PB80,6,2,165
8,740/PHB47,740,PHB47,6,2,277
9,A3G-3-3-1-313/DK3IIH6,A3G-3-3-1-313,DK3IIH6,20,1,153
10,A632/DK3IIH6,A632,DK3IIH6,66,1,153
11,A634/DK3IIH6,A634,DK3IIH6,66,3,153
12,A634/LH82,A634,LH82,20,3,205
13,A634/PHZ51,A634,PHZ51,20,3,670
14,A635/DK3IIH6,A635,DK3IIH6,71,3,153
15,A635/LH82,A635,LH82,9,3,205
16,A635/PHZ51,A635,PHZ51,9,3,670
17,A641/LH82,A641,LH82,19,2,205
18,A641/PHZ51,A641,PHZ51,19,2,670
19,A672/LH82,A672,LH82,20,2,205
20,A672/PHZ51,A672,PHZ51,20,2,670
21,A679/DK3IIH6,A679,DK3IIH6,104,3,153
22,A679/LH82,A679,LH82,17,3,205
23,A679/PHZ51,A679,PHZ51,17,3,670
24,A680/DK3IIH6,A680,DK3IIH6,66,3,153
25,A680/LH82,A680,LH82,20,3,205
26,A680/PHZ51,A680,PHZ51,20,3,670
27,AH83/DK3IIH6,AH83,DK3IIH6,41,1,153
28,B103/LH82,B103,LH82,8,3,205
29,B103/PHB47,B103,PHB47,8,3,277
30,B103/PHZ51,B103,PHZ51,16,3,670
31,B104/DK3IIH6,B104,DK3IIH6,66,3,153
32,B104/LH82,B104,LH82,17,3,205
33,B104/PHZ51,B104,PHZ51,17,3,670
34,B105/DK3IIH6,B105,DK3IIH6,85,3,153
35,B105/LH82,B105,LH82,9,3,205
36,B105/PHZ51,B105,PHZ51,9,3,670
37,B106/LH82,B106,LH82,18,2,205
38,B106/PHZ51,B106,PHZ51,18,2,670
39,B109/DK3IIH6,B109,DK3IIH6,66,3,153
40,B109/LH82,B109,LH82,15,3,205
41,B109/PHZ51,B109,PHZ51,15,3,670
42,B110/DK3IIH6,B110,DK3IIH6,66,1,153
43,B111/DK3IIH6,B111,DK3IIH6,65,3,153
44,B111/LH82,B111,LH82,17,3,205
45,B111/PHZ51,B111,PHZ51,17,3,670
46,B118/PHB47,B118,PHB47,15,1,277
47,B119/DK3IIH6,B119,DK3IIH6,66,3,153
48,B119/LH82,B119,LH82,21,3,205
49,B119/PHZ51,B119,PHZ51,21,3,670
50,B14/DK3IIH6,B14,DK3IIH6,34,1,153
51,B14A/C103,B14A,C103,49,6,4
52,B14A/DK3IIH6,B14A,DK3IIH6,30,6,153
53,B14A/H95,B14A,H95,569,6,4
54,B14A/H95,H95,B14A,12,2,1
55,B14A/LH82,B14A,LH82,5,6,205
56,B14A/MO17,B14A,MO17,508,6,8
57,B14A/OH43,B14A,OH43,719,6,4
