Site,Longitude,Latitude,Planting,Genetics,Year
ARH1_2016,-90.7603555,34.72952,2016-04-07,95,2016
ARH1_2017,-90.76032575,34.7272515,2017-04-17,95,2017
ARH1_2018,-90.7603455,34.729679000000004,2018-04-25,95,2018
ARH2_2016,-90.66530155,35.83861400000001,2016-04-23,95,2016
ARH2_2017,-90.0752695,35.67418125,2017-04-25,95,2017
ARH2_2018,-90.0749725,35.674241,2018-04-19,95,2018
COH1_2017,-104.9997825,40.64850025,2017-05-31,95,2017
COH1_2021,-104.994675,40.648675,2021-05-22,95,2021
COH1_2022,-104.99532725,40.652454,2022-05-19,95,2022
COH1_2023,-104.992225,40.652425,2023-05-24,95,2023
DEH1_2014,-75.4656925,38.62935675,2014-05-05,95,2014
DEH1_2015,-75.4656925,38.62935675,2015-04-29,95,2015
DEH1_2016,-75.44606,38.6482025,2016-04-25,95,2016
DEH1_2017,-75.4333645,38.67025825,2017-04-28,95,2017
DEH1_2018,-75.44913625000001,38.65164475,2018-05-02,95,2018
DEH1_2019,-75.43322500000001,38.670675,2019-05-09,95,2019
DEH1_2020,-75.46566025000001,38.628981,2020-05-14,95,2020
DEH1_2021,-75.45625,38.63525,2021-04-27,95,2021
DEH1_2022,-75.45824999999999,38.63775,2022-04-25,95,2022
DEH1_2023,-75.46575,38.629000000000005,2023-05-08,95,2023
GAH1_2014,-83.55515025,31.50582525,2014-04-04,95,2014
GAH1_2015,-83.555095,31.505771,2015-04-01,95,2015
GAH1_2016,-83.55854775,31.5079175,2016-04-12,95,2016
GAH1_2017,-83.55854475000001,31.50794425,2017-04-04,95,2017
GAH1_2018,-83.55515025,31.50582525,2018-04-03,95,2018
GAH1_2019,-83.55515025,31.50582525,2019-03-28,95,2019
GAH1_2020,-83.558517,31.5079775,2020-04-01,95,2020
GAH1_2021,-83.558517,31.5079775,2021-03-25,95,2021
GAH1_2022,-83.55800500000001,31.506032499999996,2022-04-04,95,2022
GAH1_2023,-83.5585,31.507937499999997,2023-03-30,95,2023
GAH2_2016,-83.3110275,33.717295,NA,95,2016
GAH2_2017,-83.29821525,33.727145,2017-05-02,95,2017
GAH2_2018,-83.30894674999999,33.71560925,2018-05-01,95,2018
GAH2_2019,-83.308125,33.7204165,2019-04-12,95,2019
GAH2_2020,-83.30265185,33.72355555,2020-05-05,95,2020
GAH2_2021,-83.30972048999999,33.7154545725,2021-04-14,95,2021
GAH2_2022,-83.3044675,33.726664,2022-04-14,95,2022
GAH2_2023,-83.303219025,33.72448995,2023-04-24,95,2023
GEH1_2019,9.93711225,51.502453,2019-05-14,95,2019
GEH1_2020,9.923683,51.495261250000006,2020-05-06,95,2020
GEH1_2021,9.92640075,51.47076224999999,2021-05-11,95,2021
GEH1_2022,9.8861215,51.5127995,2022-05-15,95,2022
